DHSID,DHSYEAR,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,BUFF_DIST,intersect_count,area_overlap,percent_overlap,area_by_count,nearest_concession,area_overlap_dissolved,percent_overlap_dissolved,total_dist,avg_dist
LB201100000049,2011,R,6.370111,-8.474103,9999,286,WGS84,5000,2,15692.57895,200,7846,121,7846.289475,100,,
LB201300000084,2013,R,7.317644,-9.521859,279,278,WGS84,5000,3,9163.54064,116.7883929,3055,217,7846.276855,100,,
LB198600000203,1986,R,6.1725,-8.48,9999,241,WGS84,5000,4,11264.6158,143.5664098,2816,126,7846.275322,99.99999991,,
LB200700000184,2007,R,7.690209851,-9.518986178,338,326,WGS84,5000,4,15365.99229,195.8382117,3841,51,7846.268683,99.9999999,,
LB201300000077,2013,R,6.237857,-8.494896,285,283,WGS84,5000,5,11059.03341,140.9469381,2212,126,7846.238854,100.0000001,,
LB201300000157,2013,R,6.864288,-9.503273,228,221,WGS84,5000,3,23538.69887,300.0000003,7846,111,7846.232953,100,,
LB198600000309,1986,R,7.6833,-9.4833,9999,337,WGS84,5000,3,14534.04452,185.2371059,4845,51,7846.184194,100.0000001,,
LB201300000233,2013,R,5.647574,-9.478063,81,75,WGS84,5000,4,19857.51638,253.0852523,4964,17,7846.176811,99.99999997,,
LB201300000192,2013,R,6.454413,-9.476952,191,192,WGS84,5000,15,87615.88725,1116.670395,5841,133,7846.172665,100,,
LB200700000034,2007,R,6.276463627,-8.523429549,293,283,WGS84,5000,6,9203.09698,117.2940994,1534,121,7846.172161,99.99999995,,
LB200700000239,2007,R,6.513963903,-9.476694092,187,188,WGS84,5000,14,84237.79077,1073.616424,6017,133,7846.17196,100.0000001,,
LB200700000019,2007,R,6.400842308,-8.529446311,259,252,WGS84,5000,6,13538.52234,172.5496954,2256,121,7846.158352,99.99999996,,
LB201300000226,2013,R,5.505522,-9.469482,34,47,WGS84,5000,7,12071.86059,153.8569712,1725,120,7846.157695,99.99999996,,
LB198600000201,1986,R,6.4333,-8.5333,9999,276,WGS84,5000,6,13951.41578,177.8122553,2325,121,7846.149725,100,,
LB201100000059,2011,R,4.814491,-8.548286,9999,32,WGS84,5000,3,9703.759645,123.6759056,3235,533,7846.119746,100,,
LB200700000045,2007,R,6.490714141,-9.427746974,557,204,WGS84,5000,13,86283.10191,1099.698788,6637,133,7846.066843,100.0000001,,
LB201300000217,2013,R,6.317489,-8.614169,9999,240,WGS84,5000,4,22796.25039,290.546659,5699,124,7845.98608,100.0000001,,
LB201100000051,2011,R,6.24402,-8.627597,9999,258,WGS84,5000,3,18516.3836,235.9988953,6172,124,7845.961982,100,,
LB200700000177,2007,R,7.499510337,-8.637618427,329,462,WGS84,5000,4,15408.17918,196.3840361,3852,478,7845.942813,99.9999999,,
LB200700000131,2007,R,7.094387262,-10.87119652,110,114,WGS84,5000,9,9972.390234,126.9731998,1108,536,7845.939325,99.89821883,,
LB201300000125,2013,R,4.979115,-8.653591,28,24,WGS84,5000,13,15303.61306,195.0518916,1177,64,7845.918812,99.99999998,,
LB198600000391,1986,R,7.3333,-8.6833,9999,401,WGS84,5000,1,7845.869652,100.0000001,7846,550,7845.869646,100,,
LB200700000141,2007,R,4.923145904,-8.690915388,104,19,WGS84,5000,7,20509.23527,261.4019893,2930,64,7845.860452,100.0000001,,
LB198600000113,1986,R,4.95,-8.7167,9999,30,WGS84,5000,5,19334.35182,246.4285715,3867,64,7845.823925,100,,
LB198600000116,1986,R,4.9667,-8.75,9999,36,WGS84,5000,5,19421.814,247.5446711,3884,60,7845.781495,99.99999999,,
LB198600000378,1986,R,6.5833,-9.25,9999,222,WGS84,5000,2,15548.23003,198.1731417,7774,457,7845.78067,100.0000001,,
LB200700000218,2007,R,5.51662236,-9.218099967,194,51,WGS84,5000,2,7977.36934,101.6776442,3989,2,7845.745639,99.99999991,,
LB201300000159,2013,R,6.845358,-9.216864,255,246,WGS84,5000,2,9719.384587,123.8809833,4860,52,7845.743802,99.99999984,,
LB200700000026,2007,R,5.993113357,-8.815442674,220,201,WGS84,5000,2,7850.618948,100.0625263,3925,490,7845.713321,100.0000001,,
LB198600000111,1986,R,5.65,-8.8333,9999,152,WGS84,5000,3,9131.455596,116.3880515,3044,91,7845.698496,100.0000001,,
